Date,PLTR,CSIQ,WMT,INTC,XOM
06/21/21,25.42,38.34,131.745605,51.812183,56.585789
06/22/21,25.4,37.950001,132.354111,51.812183,57.670677
06/23/21,26.27,38.720001,131.320633,51.246494,58.095585
06/24/21,26.530001,38.689999,132.238205,51.997662,58.330643
06/25/21,26.780001,40.43,133.802933,51.849281,58.457218
06/28/21,27.379999,45.5,133.387619,53.305256,56.965492
06/29/21,26.629999,47.119999,132.614883,52.628277,56.612907
06/30/21,26.360001,44.84,136.207977,52.062576,57.028778
07/01/21,24.719999,43.639999,134.565979,51.942017,57.191513
07/02/21,24.440001,43.080002,135.329025,52.637543,57.110142
07/06/21,24.68,43.740002,135.164825,52.016205,55.482819
07/07/21,22.889999,43.049999,134.942657,51.895645,54.614918
07/08/21,23.08,41.299999,134.826752,51.36705,54.370808
07/09/21,23.290001,40.810001,135.512543,51.92347,55.356251
07/12/21,22.950001,43.09,135.271042,52.609722,55.302006
07/13/21,22.450001,42.040001,135.782974,52.739548,55.039822
07/14/21,21.559999,39.610001,136.719894,52.414978,53.819324
07/15/21,21.469999,38.669998,136.826126,51.75655,53.294971
07/16/21,21.370001,37.639999,136.729538,50.977551,51.821331
07/19/21,21.540001,37.75,136.410782,50.671516,50.04031
07/20/21,22.18,38.200001,137.028946,51.227943,50.591797
07/21/21,22.52,40.009998,136.352829,52.146038,52.219124
07/22/21,22.07,39.68,136.449448,51.895645,51.631485
07/23/21,21.809999,39.02,137.569855,49.150631,51.568203
07/26/21,22.129999,38.060001,137.763016,50.36549,52.870052
07/27/21,21.68,38.310001,137.77269,49.317554,52.282417
07/28/21,22.559999,40.02,137.212463,49.215549,52.634998
07/29/21,22.18,40.709999,137.386337,49.799793,53.276886
07/30/21,21.709999,40.25,137.685745,49.81834,52.047348
08/02/21,22.1,39.869999,137.367004,49.781242,52.056396
08/03/21,22.24,41.599998,138.912415,50.133648,52.616917
08/04/21,22.299999,41.41,137.965836,49.985268,51.387379
08/05/21,22.52,40.060001,140.525436,50.300751,51.712849
08/06/21,21.82,40.009998,140.274323,50.328754,52.309528
08/09/21,22.93,40.849998,140.612366,50.450096,51.712849
08/10/21,22.92,42,143.606567,50.34742,52.598843
08/11/21,22.35,41.48,144.891174,50.5341,52.752522
08/12/21,24.889999,41.599998,144.503387,49.97406,52.633217
08/13/21,24.9,38.580002,144.959045,49.927399,52.100925
08/16/21,24.5,37.060001,146.141739,49.908733,51.339184
08/17/21,23.969999,34.709999,146.093292,49.180676,50.990437
08/18/21,25.280001,34.560001,144.542175,48.713978,49.916656
08/19/21,24.16,31.99,145.521347,48.947323,48.393196
08/20/21,24.01,32.360001,146.820358,48.545963,48.40237
08/23/21,24.82,34.099998,145.850922,49.684708,50.393902
08/24/21,25.1,36,144.348312,50.226086,50.806889
08/25/21,24.35,36.330002,144.406479,50.226086,50.898666
08/26/21,24.870001,36.23,142.845673,49.591373,50.210346
08/27/21,25.709999,36.889999,142.041077,50.300751,51.183163
08/30/21,25.76,37.369999,143.184967,50.34742,50.623337
08/31/21,26.34,36.970001,143.572769,50.459435,50.035973
09/01/21,26.200001,37.41,143.262527,50.095398,49.34766
09/02/21,26.51,37.59,144.018677,50.151405,50.549919
09/03/21,26.639999,37.119999,144.687607,49.946068,50.357189
09/07/21,26.700001,37.380001,142.768143,50.07674,50.063507
09/08/21,25.58,36.389999,142.952332,50.002064,49.604622
09/09/21,26.129999,36.900002,141.944107,49.843391,49.641338
09/10/21,26.280001,36.360001,141.430328,50.254082,49.540386
09/13/21,25.83,37.73,140.625687,51.327488,50.816063
09/14/21,26.26,37.09,139.888931,50.888794,50.091038
09/15/21,27.08,37.599998,140.131287,51.448826,51.779705
09/16/21,28.629999,36.540001,140.596588,51.178143,51.229057
09/17/21,28.709999,36.970001,140.305786,50.646111,50.623337
09/20/21,26.549999,34.310001,138.376617,49.451355,49.274242
09/21/21,26.620001,34.889999,138.648056,49.34869,49.228348
09/22/21,27.43,35.34,138.328125,49.936726,50.669228
09/23/21,28.77,34.330002,138.405716,50.431431,52.385426
09/24/21,28.559999,33.720001,138.793457,50.608772,52.853477
09/27/21,27.469999,34.669998,137.901581,51.01947,54.42284
09/28/21,25.34,33.610001,136.205093,50.403427,54.991844
09/29/21,24.52,33.400002,136.146927,49.927399,54.955135
09/30/21,24.040001,34.59,135.119339,49.731377,53.982315
10/01/21,24.33,34.419998,132.86055,50.272758,55.918781
10/04/21,23.17,31.9,131.580887,49.908733,56.64381
10/05/21,23.209999,32.080002,132.44368,50.356762,56.552036
10/06/21,23.58,31.790001,133.413132,50.384754,55.514969
10/07/21,23.73,32.07,134.983612,50.571434,55.67099
10/08/21,23.5,33.029999,135.390762,50.226086,57.065975
10/11/21,23.530001,34.220001,135.264725,49.880726,56.496964
10/12/21,23.690001,36.369999,135.119339,48.695313,56.203289
10/13/21,24.129999,36.82,134.140198,48.779312,56.047264
10/14/21,24.35,36.279999,135.594345,50.310089,56.90078
10/15/21,24,36.709999,136.253555,50.83279,57.442253
10/18/21,24.26,37.02,137.348999,50.842121,57.414715
10/19/21,24.690001,37.349998,140.266983,51.532833,58.277405
10/20/21,24.219999,37.25,141.536972,51.682175,58.598621
10/21/21,24.780001,38.209999,142.322205,52.270222,57.534027
10/22/21,24.43,37.52,143.805435,46.165806,57.928658
10/25/21,25.41,39.049999,145.472855,46.119137,59.057503
10/26/21,25.52,38.209999,144.202896,45.064396,60.424953
10/27/21,25.059999,38.790001,143.020187,44.700371,58.855595
10/28/21,25.639999,40.849998,143.912064,44.877712,59.020786
10/29/21,25.879999,41.549999,144.852417,45.736446,59.167637
11/01/21,26.559999,41.290001,145.211105,46.249809,60.232224
11/02/21,25.92,39.080002,145.143234,46.539162,59.48885
11/03/21,26.120001,39.529999,145.589157,47.033863,58.672043
11/04/21,26.469999,39.580002,146.655579,47.285755,59.112572
11/05/21,26,38.380001,145.637634,47.859089,59.672398
11/08/21,26.75,38.599998,144.707001,48.45121,60.314827
11/09/21,24.25,38.259998,145.211105,48.122257,60.902184
11/10/21,22.52,36.259998,143.902374,47.708702,59.702381
11/11/21,22.99,40.950001,143.960526,47.492531,59.813984
11/12/21,22.83,39.369999,143.243134,47.285755,59.358246
11/15/21,23.41,39.57,142.419128,47.295151,59.869789
11/16/21,23.129999,40.009998,138.793457,47.567726,60.474346
11/17/21,22.49,38.639999,137.601059,47.21056,59.813984
11/18/21,21.5,39,138.783783,46.693623,59.16293
11/19/21,21.41,40.880001,138.037308,46.543243,56.428459
11/22/21,20.65,40.630001,140.354248,46.83461,57.209743
11/23/21,20.59,39.209999,141.352768,46.148491,58.716488
11/24/21,21.110001,39.240002,142.060425,46.768822,59.042015
11/26/21,21.030001,38.279999,140.470581,45.847725,56.967915
11/29/21,21.07,39.060001,138.269974,46.994389,57.284145
11/30/21,20.65,37.939999,136.331116,46.242477,55.65649
12/01/21,19.379999,36.68,132.947784,45.678551,55.609985
12/02/21,19.690001,35.220001,131.328857,46.524448,56.995811
12/03/21,18.98,32.52,133.306488,46.289478,56.633083
12/06/21,18.799999,32.939999,134.750946,47.924877,57.274849
12/07/21,19.459999,33.669998,134.314697,49.409897,57.916599
12/08/21,19.82,34.110001,132.957489,48.639187,58.084026
12/09/21,19.209999,32.900002,134.806839,47.445534,58.232841
12/10/21,18.940001,32.470001,137.269379,47.54892,58.60487
12/13/21,18.4,32.959999,139.741653,46.994389,57.32135
12/14/21,18.639999,30.98,141.075119,46.712425,57.237637
12/15/21,18.860001,31,141.882965,47.624115,56.986515
12/16/21,18.34,30.209999,139.517746,47.774498,57.079525
12/17/21,19.059999,31.860001,135.05014,47.577118,55.833202
12/20/21,17.959999,30.18,135.488144,46.618435,55.024025
12/21/21,18.9,31.860001,135.896957,47.718102,56.270348
12/22/21,18.879999,31.290001,136.072159,47.906075,56.726093
12/23/21,18.93,31.110001,135.770432,48.225647,56.753994
12/27/21,18.940001,30.959999,137.006561,48.817772,57.563171
12/28/21,18.57,30.85,138.972687,48.648594,57.377148
12/29/21,18.17,30.42,138.904572,48.71439,56.874901
12/30/21,18.690001,31.4,139.35228,48.629795,56.540077
